ID_cliente,Cancelacion,Genero,Adulto_Mayor,Asociado,Dependientes,Antigüedad,Servicio_Telefonico,Lineas_Multiples,Servicio_Internet,Seguridad_En_Linea,Respaldo_En_Linea,Proteccion_Dispositivo,Soporte_Tecnico,TV_Streaming,Peliculas_Streaming,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias
0002-ORFBO,False,Femenino,False,True,True,9,True,No,DSL,No,Si,No,Si,Si,No,Un año,True,Cheque por correo,65.6,593.3,2.187
0003-MKNFE,False,Masculino,False,False,False,9,True,Si,DSL,No,No,No,No,No,Si,Mes a mes,False,Cheque por correo,59.9,542.4,1.997
0004-TLHLJ,True,Masculino,False,False,False,4,True,No,Fibra optica,No,No,Si,No,No,No,Mes a mes,True,Cheque electronico,73.9,280.85,2.463
0011-IGKFF,True,Masculino,True,True,False,13,True,No,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,True,Cheque electronico,98.0,1237.85,3.267
0013-EXCHZ,True,Femenino,True,True,False,3,True,No,Fibra optica,No,No,No,Si,Si,No,Mes a mes,True,Cheque por correo,83.9,267.4,2.797
0013-MHZWF,False,Femenino,False,False,True,9,True,No,DSL,No,No,No,Si,Si,Si,Mes a mes,True,Tarjeta de credito (automatica),69.4,571.45,2.313
0013-SMEOE,False,Femenino,True,True,False,71,True,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,True,Transferencia bancaria (automatica),109.7,7904.25,3.657
0014-BMAQU,False,Masculino,False,True,False,63,True,Si,Fibra optica,Si,No,No,Si,No,No,Dos años,True,Tarjeta de credito (automatica),84.65,5377.8,2.822
0015-UOCOJ,False,Femenino,True,False,False,7,True,No,DSL,Si,No,No,No,No,No,Mes a mes,True,Cheque electronico,48.2,340.35,1.607
0016-QLJIS,False,Femenino,False,True,True,65,True,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,True,Cheque por correo,90.45,5957.9,3.015
0017-DINOC,False,Masculino,False,False,False,54,False,Sin servicio telefonico,DSL,Si,No,No,Si,Si,No,Dos años,False,Tarjeta de credito (automatica),45.2,2460.55,1.507
0017-IUDMW,False,Femenino,False,True,True,72,True,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,True,Tarjeta de credito (automatica),116.8,8456.75,3.893
0018-NYROU,False,Femenino,False,True,False,5,True,No,Fibra optica,No,No,No,No,No,No,Mes a mes,True,Cheque electronico,68.95,351.5,2.298
0019-EFAEP,False,Femenino,False,False,False,72,True,Si,Fibra optica,Si,Si,Si,No,Si,No,Dos años,True,Transferencia bancaria (automatica),101.3,7261.25,3.377
0019-GFNTW,False,Femenino,False,False,False,56,False,Sin servicio telefonico,DSL,Si,Si,Si,Si,No,No,Dos años,False,Transferencia bancaria (automatica),45.05,2560.1,1.502
0020-INWCK,False,Femenino,False,True,True,71,True,Si,Fibra optica,No,Si,Si,No,No,Si,Dos años,True,Tarjeta de credito (automatica),95.75,6849.4,3.192
0020-JDNXP,False,Femenino,False,True,True,34,False,Sin servicio telefonico,DSL,Si,No,Si,Si,Si,Si,Un año,False,Cheque por correo,61.25,1993.2,2.042
0021-IKXGC,False,Femenino,True,False,False,1,True,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,True,Cheque electronico,72.1,72.1,2.403
0022-TCJCI,True,Masculino,True,False,False,45,True,No,DSL,Si,No,Si,No,No,Si,Un año,False,Tarjeta de credito (automatica),62.7,2791.5,2.09
0023-HGHWL,True,Masculino,True,False,False,1,False,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mes a mes,True,Cheque electronico,25.1,25.1,0.837
0023-UYUPN,False,Femenino,True,True,False,50,True,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,False,Cheque electronico,25.2,1306.3,0.84
0023-XUOPT,True,Femenino,False,True,False,13,True,Si,Fibra optica,No,Si,Si,No,Si,No,Mes a mes,False,Cheque electronico,94.1,1215.6,3.137
0027-KWYKW,False,Femenino,False,True,True,23,True,Si,Fibra optica,No,No,No,No,Si,No,Mes a mes,True,Cheque electronico,83.75,1849.95,2.792
0030-FNXPP,False,Femenino,False,False,False,3,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,False,Cheque por correo,19.85,57.2,0.662
0031-PVLZI,True,Femenino,False,True,True,4,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,False,Cheque por correo,20.35,76.35,0.678
0032-PGELS,True,Femenino,False,True,True,1,False,Sin servicio telefonico,DSL,Si,No,No,No,No,No,Mes a mes,False,Transferencia bancaria (automatica),30.5,30.5,1.017
0036-IHMOT,False,Femenino,False,True,True,55,True,No,Fibra optica,No,Si,Si,Si,Si,Si,Un año,True,Transferencia bancaria (automatica),103.7,5656.75,3.457
0040-HALCW,False,Masculino,False,True,True,54,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,False,Tarjeta de credito (automatica),20.4,1090.6,0.68
0042-JVWOJ,False,Masculino,False,False,False,26,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,True,Transferencia bancaria (automatica),19.6,471.85,0.653
0042-RLHYP,False,Femenino,False,True,True,69,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,False,Transferencia bancaria (automatica),19.7,1396.9,0.657
0047-ZHDTW,True,Femenino,False,False,False,11,True,Si,Fibra optica,Si,No,No,No,No,No,Mes a mes,True,Transferencia bancaria (automatica),79.0,929.3,2.633
0048-LUMLS,False,Masculino,False,True,True,37,True,No,Fibra optica,No,No,No,No,Si,Si,Un año,False,Tarjeta de credito (automatica),91.2,3247.55,3.04
0048-PIHNL,False,Femenino,False,True,False,49,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,False,Transferencia bancaria (automatica),20.45,900.9,0.682
0052-DCKON,False,Masculino,False,True,False,66,True,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un año,False,Transferencia bancaria (automatica),115.8,7942.15,3.86
0052-YNYOT,False,Femenino,False,False,False,67,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,False,Cheque electronico,20.55,1343.4,0.685
0056-EPFBG,False,Masculino,False,True,True,20,False,Sin servicio telefonico,DSL,Si,No,Si,Si,No,No,Dos años,True,Tarjeta de credito (automatica),39.4,825.4,1.313
0057-QBUQH,False,Femenino,False,False,True,43,True,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,True,Cheque electronico,25.1,1070.15,0.837
0058-EVZWM,False,Femenino,False,True,False,55,True,Si,Fibra optica,Si,No,No,No,Si,No,Mes a mes,True,Transferencia bancaria (automatica),89.8,4959.6,2.993
0060-FUALY,False,Femenino,False,True,False,59,True,Si,Fibra optica,Si,Si,No,No,Si,No,Mes a mes,True,Cheque electronico,94.75,5597.65,3.158
0064-SUDOG,False,Femenino,False,True,True,12,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,False,Transferencia bancaria (automatica),20.3,224.5,0.677
0064-YIJGF,False,Masculino,False,True,True,27,True,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,True,Transferencia bancaria (automatica),75.75,1929.0,2.525
0067-DKWBL,True,Masculino,True,False,False,2,True,No,DSL,Si,No,No,No,No,No,Mes a mes,True,Cheque electronico,49.25,91.1,1.642
0068-FIGTF,False,Femenino,False,False,False,27,True,No,DSL,No,Si,Si,Si,Si,Si,Un año,False,Cheque por correo,78.2,2078.95,2.607
0071-NDAFP,False,Masculino,False,True,True,25,True,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,False,Tarjeta de credito (automatica),25.5,630.6,0.85
0074-HDKDG,False,Masculino,False,True,True,25,True,No,DSL,Si,Si,Si,No,No,No,Un año,True,Transferencia bancaria (automatica),61.6,1611.0,2.053
0076-LVEPS,False,Masculino,False,False,True,29,False,Sin servicio telefonico,DSL,Si,Si,Si,Si,No,No,Mes a mes,True,Cheque por correo,45.0,1242.45,1.5
